"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
2230,"ESPAÑA","ARMILLA","Instituto de Educación Secundaria (IES)","ALBA LONGA",18700232,"Centro público",0
2231,"ESPAÑA","ZUBIA (LA)","Instituto de Educación Secundaria (IES)","TREVENQUE",18700244,"Centro público",0
2232,"ESPAÑA","BAZA","Conservatorio de Música o Danza","JOSÉ SALINAS",18700271,"Centro público",0
2233,"ESPAÑA","MOTRIL","Escuela Oficial de Idiomas (EOI)","E.O.I.",18700281,"Centro público",0
2234,"ESPAÑA","GRANADA","Instituto de Educación Secundaria (IES)","FRANCISCO AYALA",18700293,"Centro público",0
2235,"ESPAÑA","HUÉTOR TÁJAR","Instituto de Educación Secundaria (IES)","AMÉRICO CASTRO",18700301,"Centro público",0
2236,"ESPAÑA","GRANADA","Instituto de Educación Secundaria (IES)","LA MADRAZA",18700311,"Centro público",0
2237,"ESPAÑA","MOTRIL","Instituto de Educación Secundaria (IES)","BEATRIZ GALINDO LA LATINA",18700323,"Centro público",0
2238,"ESPAÑA","GRANADA","Conservatorio de Música o Danza","ANGEL BARRIOS",18700335,"Centro público",0
2239,"ESPAÑA","ALBUÑOL","Instituto de Educación Secundaria (IES)","LA CONTRAVIESA",18700347,"Centro público",0
2240,"ESPAÑA","BAZA","Instituto de Educación Secundaria (IES)","ALCREBITE",18700359,"Centro público",0
2241,"ESPAÑA","CHAUCHINA","Instituto de Educación Secundaria (IES)","ARJÉ",18700360,"Centro público",0
2242,"ESPAÑA","GABIAS (LAS)","Instituto de Educación Secundaria (IES)","MONTEVIVES",18700372,"Centro público",0
2243,"ESPAÑA","LOJA","Colegio Público","RURAL BESANA",18602091,"Centro público",0
2244,"ESPAÑA","QUÉNTAR","Colegio Público","RIBERA DE AGUAS BLANCAS",18602106,"Centro público",0
2245,"ESPAÑA","ÓRGIVA","Colegio Público","EL ALFEIZAR",18602121,"Centro público",0
2246,"ESPAÑA","TAHA (LA)","Colegio Público","LOS CASTAÑOS",18602143,"Centro público",0
2247,"ESPAÑA","ALGARINEJO","Colegio Público","SAN JERONIMO",18602155,"Centro público",0
2248,"ESPAÑA","ZAGRA","Colegio Público","SAN JOSÉ DE CALASANZ",18602167,"Centro público",0
2249,"ESPAÑA","PINOS PUENTE","Escuela de Educación Infantil","MEDIA LUNA",18602179,"Centro público",0
2250,"ESPAÑA","GABIAS (LAS)","Escuela de Educación Infantil","LA ERMITA",18602180,"Centro público",0
2251,"ESPAÑA","PINOS PUENTE","Centro Privado de Educación Infantil","JESUS-MARIA",18602192,"Centro privado",2
2252,"ESPAÑA","CÁJAR","Centro Privado de Enseñanzas de Régimen General","LUX MUNDI",18602209,"Centro privado",1
2253,"ESPAÑA","FONELAS","Centro Público de Educación de Personas Adultas (Presencial)",,18500590,"Centro público",0
2254,"ESPAÑA","BAZA","Centro Público de Educación de Personas Adultas (Presencial)",,18500607,"Centro público",0
2255,"ESPAÑA","CANILES","Centro Público de Educación de Personas Adultas (Presencial)",,18500619,"Centro público",0
2256,"ESPAÑA","BENAMAUREL","Centro Público de Educación de Personas Adultas (Presencial)",,18500620,"Centro público",0
2257,"ESPAÑA","CÚLLAR","Centro Público de Educación de Personas Adultas (Presencial)",,18500632,"Centro público",0
2258,"ESPAÑA","HUÉSCAR","Centro Público de Educación de Personas Adultas (Presencial)",,18500644,"Centro público",0
2259,"ESPAÑA","PUEBLA DE DON FADRIQUE","Centro Público de Educación de Personas Adultas (Presencial)",,18500656,"Centro público",0
2260,"ESPAÑA","CASTILLÉJAR","Centro Público de Educación de Personas Adultas (Presencial)",,18500668,"Centro público",0
2261,"ESPAÑA","CASTRIL","Centro Público de Educación de Personas Adultas (Presencial)",,18500671,"Centro público",0
2262,"ESPAÑA","TORVIZCÓN","Centro Público de Educación de Personas Adultas (Presencial)",,18500346,"Centro público",0
2263,"ESPAÑA","ALMUÑÉCAR","Centro Público de Educación de Personas Adultas (Presencial)","ALMUÑECAR LA HERRADURA",18500358,"Centro público",0
2264,"ESPAÑA","OTÍVAR","Centro Público de Educación de Personas Adultas (Presencial)","LENTEJI",18500361,"Centro público",0
2265,"ESPAÑA","JETE","Centro Público de Educación de Personas Adultas (Presencial)",,18500371,"Centro público",0
2266,"ESPAÑA","ARMILLA","Centro Público de Educación de Personas Adultas (Presencial)",,18500383,"Centro público",0
2267,"ESPAÑA","GABIAS (LAS)","Centro Público de Educación de Personas Adultas (Presencial)",,18500395,"Centro público",0
2268,"ESPAÑA","ALHENDÍN","Centro Público de Educación de Personas Adultas (Presencial)",,18500401,"Centro público",0
2269,"ESPAÑA","GÓJAR","Centro Público de Educación de Personas Adultas (Presencial)","OGIJARES-DILAR",18500413,"Centro público",0
2270,"ESPAÑA","CHURRIANA DE LA VEGA","Centro Público de Educación de Personas Adultas (Presencial)",,18500425,"Centro público",0
2271,"ESPAÑA","ZUBIA (LA)","Centro Público de Educación de Personas Adultas (Presencial)",,18500437,"Centro público",0
2272,"ESPAÑA","GÜEJAR SIERRA","Centro Público de Educación de Personas Adultas (Presencial)",,18500449,"Centro público",0
2273,"ESPAÑA","DÚRCAL","Centro Público de Educación de Personas Adultas (Presencial)",,18500450,"Centro público",0
2274,"ESPAÑA","PADUL","Centro Público de Educación de Personas Adultas (Presencial)",,18500462,"Centro público",0
2275,"ESPAÑA","ALBUÑUELAS","Centro Público de Educación de Personas Adultas (Presencial)",,18500474,"Centro público",0
2276,"ESPAÑA","LECRÍN","Centro Público de Educación de Personas Adultas (Presencial)","LECRIN-MONDUJAR",18500486,"Centro público",0
2277,"ESPAÑA","VALLE (EL)","Centro Público de Educación de Personas Adultas (Presencial)","SALORES",18500498,"Centro público",0
