"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
1,"ESPAÑA","CEUTA","Colegio Público","PABLO RUIZ PICASSO",51000021,"Centro público",0
2,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","CLARA CAMPOAMOR",51004671,"Centro público",0
3,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","LA INMACULADA",51000055,"Centro privado",1
4,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SEVERO OCHOA",51000067,"Centro privado",1
5,"ESPAÑA","CEUTA","Colegio Público","FEDERICO GARCÍA LORCA",51000171,"Centro público",0
6,"ESPAÑA","CEUTA","Colegio Público","SANTA AMELIA",51000183,"Centro público",0
7,"ESPAÑA","CEUTA","Colegio Público","LOPE DE VEGA",51000195,"Centro público",0
8,"ESPAÑA","CEUTA","Colegio Público","SANTIAGO RAMÓN Y CAJAL",51000201,"Centro público",0
9,"ESPAÑA","CEUTA","Colegio Público","ANDRÉS MANJÓN",51000213,"Centro público",0
10,"ESPAÑA","CEUTA","Colegio Público","RAMÓN MARÍA DEL VALLE INCLÁN",51000225,"Centro público",0
11,"ESPAÑA","CEUTA","Colegio Público","MAESTRO JUAN MOREJÓN",51000237,"Centro público",0
12,"ESPAÑA","CEUTA","Colegio Público","MAESTRO JOSÉ ACOSTA",51000249,"Centro público",0
13,"ESPAÑA","CEUTA","Colegio Público","VICENTE ALEIXANDRE",51000262,"Centro público",0
14,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SANTA MARIA MICAELA",51000274,"Centro privado",1
15,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","ABYLA",51000286,"Centro público",0
16,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","SIETE COLINAS",51000298,"Centro público",0
17,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","ALMINA",51000304,"Centro público",0
18,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","PUERTAS DEL CAMPO",51000331,"Centro público",0
19,"ESPAÑA","CEUTA","Colegio Público","PRINCIPE FELIPE",51000353,"Centro público",0
20,"ESPAÑA","CEUTA","Colegio Público","JOSÉ ORTEGA Y GASSET",51000365,"Centro público",0
21,"ESPAÑA","CEUTA","Colegio Público","ROSALIA DE CASTRO",51000377,"Centro público",0
22,"ESPAÑA","CEUTA","Colegio Público","REINA SOFÍA",51000420,"Centro público",0
23,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","BEATRIZ DE SILVA",51000432,"Centro privado",1
24,"ESPAÑA","CEUTA","Conservatorio de Música o Danza","CONSERVATORIO PROFESIONAL MUNICIPAL DE CEUTA",51000444,"Centro público",0
25,"ESPAÑA","CEUTA","Colegio Público","REY JUAN CARLOS I",51000456,"Centro público",0
26,"ESPAÑA","CEUTA","Centro Privado de Educación Infantil","MANZANITA",51000468,"Centro privado",2
27,"ESPAÑA","CEUTA","Centro Público de Educación de Personas Adultas (Presencial)","MIGUEL HERNANDEZ",51000471,"Centro público",0
28,"ESPAÑA","CEUTA","Colegio Público","MARE NOSTRUM",51000501,"Centro público",0
29,"ESPAÑA","CEUTA","Colegio Público de Educación Especial","SAN ANTONIO",51000511,"Centro público",0
30,"ESPAÑA","CEUTA","Centro Público de Educación de Personas Adultas (Presencial)","EDRISSIS",51000626,"Centro público",0
31,"ESPAÑA","CEUTA","Instituto de Educación Secundaria (IES)","LUIS DE CAMOENS",51000638,"Centro público",0
32,"ESPAÑA","CEUTA","Escuela Oficial de Idiomas (EOI)","E.O.I. DE CEUTA",51000641,"Centro público",0
33,"ESPAÑA","CEUTA","Centro Privado de Educación Infantil","SOLETE",51000651,"Centro privado",2
34,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SAN DANIEL",51000675,"Centro privado",1
35,"ESPAÑA","CEUTA","Centro Privado de Educación Infantil","GLOBITOS",51000705,"Centro privado",2
36,"ESPAÑA","CEUTA","Centro Privado con varias Enseñanzas de Régimen General","SAN AGUSTIN",51000043,"Centro privado",1
37,"ESPAÑA","MELILLA","Colegio Público de Educación Especial","REINA SOFÍA",52004743,"Centro público",0
38,"ESPAÑA","MELILLA","Escuela de Educación Infantil","SAN FRANCISCO",52004755,"Centro público",0
39,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","CRUZ ROJA",52004767,"Centro privado",2
40,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","CENTRO SOCIOCULTURAL Mª INMACULADA",52004779,"Centro privado",2
41,"ESPAÑA","MELILLA","Colegio Público","PINTOR EDUARDO MORILLAS",52004780,"Centro público",0
42,"ESPAÑA","MELILLA","Centro Privado con varias Enseñanzas de Régimen General","LICEO SEFARDÍ",52004792,"Centro privado",1
43,"ESPAÑA","MELILLA","Colegio Público","C.E.I.P. Nº 13",52004809,"Centro público",0
44,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","MERLÍN",52004810,"Centro privado",2
45,"ESPAÑA","MELILLA","Centro Privado de Enseñanzas Deportivas","FEDERACIÓN MELILLENSE DE FÚTBOL",52004834,"Centro privado",2
46,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","CRUZ ROJA",52004846,"Centro privado",2
47,"ESPAÑA","MELILLA","Colegio Público","ESPAÑA",52000014,"Centro público",0
48,"ESPAÑA","MELILLA","Colegio Público","VELÁZQUEZ",52000026,"Centro público",0
49,"ESPAÑA","MELILLA","Colegio Público","JUAN CARO ROMERO",52000038,"Centro público",0
50,"ESPAÑA","MELILLA","Colegio Público","REAL",52000041,"Centro público",0
51,"ESPAÑA","MELILLA","Colegio Público","ANSELMO PARDO ALCAIDE",52000051,"Centro público",0
52,"ESPAÑA","MELILLA","Colegio Público","REYES CATÓLICOS",52000063,"Centro público",0
53,"ESPAÑA","MELILLA","Centro Privado con varias Enseñanzas de Régimen General","NTRA.SRA.DEL BUEN CONSEJO",52000129,"Centro privado",1
54,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","DIVINA INFANTITA",52000130,"Centro privado",2
55,"ESPAÑA","MELILLA","Centro Privado con varias Enseñanzas de Régimen General","LA SALLE-EL CARMEN",52000142,"Centro privado",1
56,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","VIRGEN DE LA VICTORIA",52000211,"Centro público",0
57,"ESPAÑA","MELILLA","Colegio Público","MEDITERRÁNEO",52000351,"Centro público",0
58,"ESPAÑA","MELILLA","Colegio Público","LEÓN SOLÁ",52000361,"Centro público",0
59,"ESPAÑA","MELILLA","Escuela de Arte","MIGUEL EMILIO MARMOLEJO FERNANDEZ",52000373,"Centro público",0
60,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","LEOPOLDO QUEIPO",52000397,"Centro público",0
61,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","REINA VICTORIA EUGENIA",52000403,"Centro público",0
62,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","ENRIQUE NIETO",52000415,"Centro público",0
63,"ESPAÑA","MELILLA","Conservatorio de Música o Danza"," DE MELILLA",52000506,"Centro público",0
64,"ESPAÑA","MELILLA","Escuela Oficial de Idiomas (EOI)","E.O.I.DE MELILLA",52000610,"Centro público",0
65,"ESPAÑA","MELILLA","Colegio Público","CONSTITUCIÓN",52000634,"Centro público",0
66,"ESPAÑA","MELILLA","Centro Público de Educación de Personas Adultas (Presencial)","CARMEN CONDE ABELLÁN",52000646,"Centro público",0
67,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","MIGUEL FERNANDEZ",52000658,"Centro público",0
68,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","JUAN ANTONIO FERNANDEZ PEREZ",52000661,"Centro público",0
69,"ESPAÑA","MELILLA","Centro Privado con varias Enseñanzas de Régimen General","ENRIQUE SOLER",52000671,"Centro privado",1
70,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","SANTA LUISA DE MARILLAC",52000683,"Centro privado",2
71,"ESPAÑA","MELILLA","Instituto de Educación Secundaria (IES)","RUSADIR",52000701,"Centro público",0
72,"ESPAÑA","MELILLA","Colegio Público","HIPÓDROMO",52000725,"Centro público",0
73,"ESPAÑA","MELILLA","Centro Privado de Educación Infantil","SAAVEDRA",52000737,"Centro privado",2
74,"ESPAÑA","MELILLA","Escuela de Educación Infantil","VIRGEN DE LA VICTORIA",52004731,"Centro público",0
75,"ESPAÑA","HUÉRCAL-OVERA","Colegio Público","PROFESOR TIERNO GALVAN",4601555,"Centro público",0
76,"ESPAÑA","ALMERÍA","Colegio Público","ALFREDO MOLINA MARTIN",4601567,"Centro público",0
77,"ESPAÑA","ALBOX","Colegio Público","FRANCISCO FENOY",4601579,"Centro público",0
78,"ESPAÑA","ALMERÍA","Escuela de Educación Infantil","MAESTRO PADILLA",4601580,"Centro público",0
79,"ESPAÑA","CARBONERAS","Colegio Público","SAN ANTONIO DE PADUA",4601610,"Centro público",0
80,"ESPAÑA","EJIDO (EL)","Colegio Público","CIAVIEJA",4601622,"Centro público",0
81,"ESPAÑA","MOJONERA (LA)","Colegio Público","LA VENTA DEL VISO",4601634,"Centro público",0
82,"ESPAÑA","ROQUETAS DE MAR","Colegio Público","BLAS INFANTE",4601646,"Centro público",0
83,"ESPAÑA","EJIDO (EL)","Colegio Público","ANDALUCIA",4601671,"Centro público",0
84,"ESPAÑA","VÍCAR","Colegio Público","BLAS INFANTE",4601695,"Centro público",0
85,"ESPAÑA","VÍCAR","Colegio Público","FEDERICO GARCIA LORCA",4601701,"Centro público",0
86,"ESPAÑA","NÍJAR","Colegio Público","LA LIBERTAD",4601798,"Centro público",0
87,"ESPAÑA","PULPÍ","Colegio Público","FEDERICO GARCIA LORCA",4601865,"Centro público",0
88,"ESPAÑA","EJIDO (EL)","Centro Privado de Educación Infantil","VIRGEN DEL CARMEN",4601877,"Centro privado",2
89,"ESPAÑA","CARBONERAS","Escuela de Educación Infantil","LLANO DE DON ANTONIO",4601890,"Centro público",0
90,"ESPAÑA","EJIDO (EL)","Escuela de Educación Infantil","SOL DE PORTOCARRERO",4601907,"Centro público",0
91,"ESPAÑA","SERÓN","Centro Público de Educación de Personas Adultas (Presencial)",,4500957,"Centro público",0
92,"ESPAÑA","TÍJOLA","Centro Público de Educación de Personas Adultas (Presencial)",,4500970,"Centro público",0
93,"ESPAÑA","LÁUJAR DE ANDARAX","Instituto de Educación Secundaria (IES)","EMILIO MANZANO",4700582,"Centro público",0
94,"ESPAÑA","NÍJAR","Instituto de Educación Secundaria (IES)","VILLA DE NIJAR",4700594,"Centro público",0
95,"ESPAÑA","PECHINA","Instituto de Educación Secundaria (IES)","PUERTA DE PECHINA",4700600,"Centro público",0
96,"ESPAÑA","PURCHENA","Instituto de Educación Secundaria (IES)","ENTRESIERRAS",4700612,"Centro público",0
97,"ESPAÑA","VÍCAR","Instituto de Educación Secundaria (IES)","VILLA DE VÍCAR",4700624,"Centro público",0
98,"ESPAÑA","VIATOR","Instituto de Educación Secundaria (IES)",,4700636,"Centro público",0
99,"ESPAÑA","ROQUETAS DE MAR","Instituto de Educación Secundaria (IES)","ALGAZUL",4700648,"Centro público",0
100,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","ALMERÍA",4700651,"Centro público",0
101,"ESPAÑA","ALMERÍA","Centro Privado de Música o Danza","AMADEUS",4700661,"Centro privado",2
102,"ESPAÑA","ROQUETAS DE MAR","Instituto de Educación Secundaria (IES)","CARLOS III",4700673,"Centro público",0
103,"ESPAÑA","EJIDO (EL)","Instituto de Educación Secundaria (IES)","SANTA MARÍA DEL ÁGUILA",4700685,"Centro público",0
104,"ESPAÑA","PULPÍ","Escuela Pública de Música y/o Danza","MUNICIPAL",4710010,"Centro público",0
105,"ESPAÑA","ROQUETAS DE MAR","Escuela Pública de Música y/o Danza","MUNICIPAL",4710022,"Centro público",0
106,"ESPAÑA","SERÓN","Instituto de Educación Secundaria (IES)","SIERRA DE LOS FILABRES",4700399,"Centro público",0
107,"ESPAÑA","SORBAS","Instituto de Educación Secundaria (IES)","RÍO AGUAS",4700417,"Centro público",0
108,"ESPAÑA","TABERNAS","Instituto de Educación Secundaria (IES)","MANUEL DE GÓNGORA",4700429,"Centro público",0
109,"ESPAÑA","ADRA","Instituto de Educación Secundaria (IES)","VIRGEN DEL MAR",4700430,"Centro público",0
110,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","AZCONA",4700442,"Centro público",0
111,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","MAESTRO PADILLA",4700454,"Centro público",0
112,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","CRUZ DE CARAVACA",4700466,"Centro público",0
113,"ESPAÑA","EJIDO (EL)","Instituto de Educación Secundaria (IES)","LAS NORIAS",4700478,"Centro público",0
114,"ESPAÑA","EJIDO (EL)","Instituto de Educación Secundaria (IES)","PABLO RUIZ PICASSO",4700481,"Centro público",0
115,"ESPAÑA","VÉLEZ-RUBIO","Instituto de Educación Secundaria (IES)","VELAD AL HAMAR",4700491,"Centro público",0
116,"ESPAÑA","VÉLEZ-RUBIO","Instituto de Educación Secundaria (IES)","JOSE MARIN",4700508,"Centro público",0
117,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","RIO ANDARAX",4700511,"Centro público",0
118,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","EL ALQUIAN",4700521,"Centro público",0
119,"ESPAÑA","EJIDO (EL)","Instituto de Educación Secundaria (IES)","MAR AZUL",4700533,"Centro público",0
120,"ESPAÑA","BENAHADUX","Instituto de Educación Secundaria (IES)","AURANTIA",4700545,"Centro público",0
121,"ESPAÑA","DALÍAS","Instituto de Educación Secundaria (IES)","CIUDAD DE DALÍAS",4700557,"Centro público",0
122,"ESPAÑA","GÁDOR","Instituto de Educación Secundaria (IES)","GADOR",4700569,"Centro público",0
123,"ESPAÑA","HUÉRCAL DE ALMERÍA","Instituto de Educación Secundaria (IES)","CARMEN DE BURGOS",4700570,"Centro público",0
124,"ESPAÑA","NÍJAR","Instituto de Educación Secundaria (IES)","CAMPOS DE NIJAR",4700132,"Centro público",0
125,"ESPAÑA","VÍCAR","Instituto de Educación Secundaria (IES)","LA PUEBLA",4700144,"Centro público",0
126,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","BAHÍA DE ALMERÍA",4700156,"Centro público",0
127,"ESPAÑA","ALMERÍA","Escuela Oficial de Idiomas (EOI)","E.O.I.",4700181,"Centro público",0
128,"ESPAÑA","EJIDO (EL)","Conservatorio de Música o Danza",,4700193,"Centro público",0
129,"ESPAÑA","ALBOX","Conservatorio de Música o Danza",,4700201,"Centro público",0
130,"ESPAÑA","CUEVAS DEL ALMANZORA","Conservatorio de Música o Danza",,4700211,"Centro público",0
131,"ESPAÑA","ALHAMA DE ALMERÍA","Instituto de Educación Secundaria (IES)","CERRO MILANO",4700259,"Centro público",0
132,"ESPAÑA","ROQUETAS DE MAR","Instituto de Educación Secundaria (IES)","AGUADULCE",4700260,"Centro público",0
133,"ESPAÑA","EJIDO (EL)","Instituto de Educación Secundaria (IES)","FUENTE NUEVA",4700272,"Centro público",0
134,"ESPAÑA","OLULA DEL RÍO","Conservatorio de Música o Danza",,4700284,"Centro público",0
135,"ESPAÑA","VÉLEZ-RUBIO","Conservatorio de Música o Danza","LEOPOLDO TORRECILLAS IGLESIAS",4700296,"Centro público",0
136,"ESPAÑA","MACAEL","Escuela Oficial de Idiomas (EOI)","E.O.I.",4700302,"Centro público",0
137,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)",,4500647,"Centro público",0
138,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","LOS MOLINOS",4500659,"Centro público",0
139,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","BARRIO ALTA",4500660,"Centro público",0
140,"ESPAÑA","SANTA FE DE MONDÚJAR","Centro Público de Educación de Personas Adultas (Presencial)",,4500052,"Centro público",0
141,"ESPAÑA","RIOJA","Centro Público de Educación de Personas Adultas (Presencial)",,4500064,"Centro público",0
142,"ESPAÑA","VÉLEZ-BLANCO","Centro Público de Educación de Personas Adultas (Presencial)",,4500088,"Centro público",0
143,"ESPAÑA","MARÍA","Centro Público de Educación de Personas Adultas (Presencial)",,4500091,"Centro público",0
144,"ESPAÑA","CHIRIVEL","Centro Público de Educación de Personas Adultas (Presencial)",,4500118,"Centro público",0
145,"ESPAÑA","VÉLEZ-RUBIO","Centro Público de Educación de Personas Adultas (Presencial)",,4500121,"Centro público",0
146,"ESPAÑA","ORIA","Centro Público de Educación de Personas Adultas (Presencial)",,4500131,"Centro público",0
147,"ESPAÑA","LÁUJAR DE ANDARAX","Centro Público de Educación de Personas Adultas (Presencial)",,4500143,"Centro público",0
148,"ESPAÑA","FONDÓN","Centro Público de Educación de Personas Adultas (Presencial)","VENECID-F.VICTORIA",4500155,"Centro público",0
149,"ESPAÑA","CANJÁYAR","Centro Público de Educación de Personas Adultas (Presencial)",,4500179,"Centro público",0
150,"ESPAÑA","ALCOLEA","Centro Público de Educación de Personas Adultas (Presencial)",,4500180,"Centro público",0
151,"ESPAÑA","PATERNA DEL RÍO","Centro Público de Educación de Personas Adultas (Presencial)",,4500192,"Centro público",0
152,"ESPAÑA","OHANES","Centro Público de Educación de Personas Adultas (Presencial)",,4500209,"Centro público",0
153,"ESPAÑA","ADRA","Centro Público de Educación de Personas Adultas (Presencial)","MEDITERRÁNEO",4500234,"Centro público",0
154,"ESPAÑA","DALÍAS","Centro Público de Educación de Personas Adultas (Presencial)",,4500283,"Centro público",0
155,"ESPAÑA","EJIDO (EL)","Escuela Oficial de Idiomas (EOI)","E.O.I.",4700314,"Centro público",0
156,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","GALILEO",4700326,"Centro público",0
157,"ESPAÑA","PULPÍ","Instituto de Educación Secundaria (IES)","MAR SERENA",4700341,"Centro público",0
158,"ESPAÑA","TÍJOLA","Instituto de Educación Secundaria (IES)","ALTO ALMANZORA",4700351,"Centro público",0
159,"ESPAÑA","MOJONERA (LA)","Instituto de Educación Secundaria (IES)","LA MOJONERA",4700363,"Centro público",0
160,"ESPAÑA","ROQUETAS DE MAR","Centro Privado con varias Enseñanzas de Régimen General","ALTADUNA",4700375,"Centro privado",1
161,"ESPAÑA","NACIMIENTO","Colegio Público","TRES VILLAS-NACIMIENTO",4602183,"Centro público",0
162,"ESPAÑA","BÉDAR","Colegio Público","EL PUNTAL",4602195,"Centro público",0
163,"ESPAÑA","MOJONERA (LA)","Colegio Público","10/04/11",4602213,"Centro público",0
164,"ESPAÑA","SORBAS","Colegio Público","LUSOR",4602225,"Centro público",0
165,"ESPAÑA","ALMERÍA","Centro Privado de Educación  Especial","TRADE",4602262,"Centro privado",2
166,"ESPAÑA","ROQUETAS DE MAR","Centro Privado con varias Enseñanzas de Régimen General","SALADARES",4602286,"Centro privado",1
167,"ESPAÑA","VÉLEZ-RUBIO","Escuela de Educación Infantil","EL CASTELLON",4602298,"Centro público",0
168,"ESPAÑA","NÍJAR","Escuela de Educación Infantil","SAN ISIDRO",4602304,"Centro público",0
169,"ESPAÑA","VÍCAR","Colegio Público","FELIX RODRIGUEZ DE LA FUENTE",4602328,"Centro público",0
170,"ESPAÑA","HUÉRCAL DE ALMERÍA","Centro Privado con varias Enseñanzas de Régimen General","AGAVE",4602331,"Centro privado",1
171,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","VIRGEN DE BELEN",4602341,"Centro privado",2
172,"ESPAÑA","ROQUETAS DE MAR","Centro Privado con varias Enseñanzas de Régimen General","PORTOCARRERO",4602353,"Centro privado",1
173,"ESPAÑA","EJIDO (EL)","Centro Privado con varias Enseñanzas de Régimen General","COLEGIO INTERNACIONAL SEK-ALBORAN",4602365,"Centro privado",1
174,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","ESTRELLA DEL MAR",4602377,"Centro privado",2
175,"ESPAÑA","ROQUETAS DE MAR","Instituto de Educación Secundaria (IES)","TURANIANA",4700016,"Centro público",0
176,"ESPAÑA","CARBONERAS","Instituto de Educación Secundaria (IES)","JUAN GOYTISOLO",4700053,"Centro público",0
177,"ESPAÑA","MOJÁCAR","Instituto de Educación Secundaria (IES)","ALYANUB-DE VERA",4700090,"Centro público",0
178,"ESPAÑA","ALMERÍA","Instituto de Educación Secundaria (IES)","SOL DE PORTOCARRERO",4700107,"Centro público",0
179,"ESPAÑA","VÉLEZ-BLANCO","Colegio Público","RURAL LOS VELEZ",4601932,"Centro público",0
180,"ESPAÑA","ARMUÑA DE ALMANZORA","Colegio Público","COLEGIO PÚBLICO RURAL ALTO ALMANZORA",4601968,"Centro público",0
181,"ESPAÑA","HUÉRCAL-OVERA","Colegio Público","ESTANCIAS",4601971,"Centro público",0
182,"ESPAÑA","ALBÁNCHEZ","Colegio Público","FILABRES",4601981,"Centro público",0
183,"ESPAÑA","ALBOX","Colegio Público","MEDIO ALMANZORA II",4601993,"Centro público",0
184,"ESPAÑA","CUEVAS DEL ALMANZORA","Colegio Público","SIERRA ALMAGRERA",4602006,"Centro público",0
185,"ESPAÑA","PULPÍ","Colegio Público","SAN MIGUEL",4602018,"Centro público",0
186,"ESPAÑA","TURRILLAS","Colegio Público","ALHFIL",4602031,"Centro público",0
187,"ESPAÑA","INSTINCIÓN","Colegio Público","VALLE DE ANDARAX",4602043,"Centro público",0
188,"ESPAÑA","ADRA","Colegio Público","ABDERA",4602079,"Centro público",0
189,"ESPAÑA","BERJA","Colegio Público","ALBORAIDA",4602080,"Centro público",0
190,"ESPAÑA","ALCOLEA","Colegio Público","ALCOLEA-FONDÓN",4602092,"Centro público",0
191,"ESPAÑA","ALICÚN","Colegio Público","ALICÚN-HUÉCIJA",4602109,"Centro público",0
192,"ESPAÑA","GARRUCHA","Colegio Público","EX MARI ORTA",4602110,"Centro público",0
193,"ESPAÑA","SUFLÍ","Colegio Público","SAN MARCOS",4602122,"Centro público",0
194,"ESPAÑA","ALMERÍA","Colegio Público","RAFAEL ALBERTI",4602134,"Centro público",0
195,"ESPAÑA","ROQUETAS DE MAR","Colegio Público","FRANCISCO SAIZ SANZ",4602158,"Centro público",0
196,"ESPAÑA","BAYÁRCAL","Colegio Público","ALPUJARRA ALTA",4602161,"Centro público",0
197,"ESPAÑA","ROQUETAS DE MAR","Colegio Público","PONIENTE",4602171,"Centro público",0
198,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","AZORIN",4501135,"Centro público",0
199,"ESPAÑA","ALMERÍA","Conservatorio de Música o Danza","REAL CONSERVATORIO PROFESIONAL DE MUSICA",4600022,"Centro público",0
200,"ESPAÑA","EJIDO (EL)","Colegio Público","JESUS DE PERCEVAL",4601531,"Centro público",0
201,"ESPAÑA","VÍCAR","Escuela de Educación Infantil","LOS ROSALES",4009654,"Centro público",0
202,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","PEKES",4009678,"Centro privado",2
203,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","CARACOL",4009681,"Centro privado",2
204,"ESPAÑA","TÍJOLA","Escuela de Educación Infantil","EL LOBITO BUENO",4009691,"Centro público",0
205,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","PLATERO",4009708,"Centro privado",2
206,"ESPAÑA","EJIDO (EL)","Centro Privado de Educación Infantil","GNOMOS II",4009711,"Centro privado",2
207,"ESPAÑA","ALHAMA DE ALMERÍA","Centro Privado de Educación Infantil","CAMPANILLA",4009721,"Centro privado",2
208,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","COLORINCOLORAO",4009745,"Centro privado",2
209,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","EL ARCA DE NOÉ",4009757,"Centro privado",2
210,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","RAYUELA",4009769,"Centro privado",2
211,"ESPAÑA","ROQUETAS DE MAR","Centro Privado de Educación Infantil","TELERÍN",4009794,"Centro privado",2
212,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","LAS GÓNDOLAS I",4009149,"Centro privado",2
213,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","LAS GÓNDOLAS II",4009150,"Centro privado",2
214,"ESPAÑA","EJIDO (EL)","Centro Privado de Educación Infantil","BURBUJAS DE COLORES",4009162,"Centro privado",2
215,"ESPAÑA","GARRUCHA","Escuela de Educación Infantil","LA SIRENITA",4009174,"Centro público",0
216,"ESPAÑA","HUÉRCAL DE ALMERÍA","Centro Privado de Educación Infantil","LOS PINOS",4009186,"Centro privado",2
217,"ESPAÑA","ALMERÍA","Centro Privado de Educación Infantil","PASITOS",4009198,"Centro privado",2
218,"ESPAÑA","MACAEL","Escuela de Educación Infantil","VIRGEN DEL CARMEN",4009204,"Centro público",0
219,"ESPAÑA","BACARES","Centro Público de Educación de Personas Adultas (Presencial)",,4500982,"Centro público",0
220,"ESPAÑA","LÚCAR","Centro Público de Educación de Personas Adultas (Presencial)",,4500994,"Centro público",0
221,"ESPAÑA","PURCHENA","Centro Público de Educación de Personas Adultas (Presencial)",,4501007,"Centro público",0
222,"ESPAÑA","GÉRGAL","Centro Público de Educación de Personas Adultas (Presencial)",,4501019,"Centro público",0
223,"ESPAÑA","NACIMIENTO","Centro Público de Educación de Personas Adultas (Presencial)",,4501020,"Centro público",0
224,"ESPAÑA","ABLA","Centro Público de Educación de Personas Adultas (Presencial)",,4501032,"Centro público",0
225,"ESPAÑA","FIÑANA","Centro Público de Educación de Personas Adultas (Presencial)",,4501044,"Centro público",0
226,"ESPAÑA","TABERNAS","Centro Público de Educación de Personas Adultas (Presencial)",,4501056,"Centro público",0
227,"ESPAÑA","CARBONERAS","Centro Público de Educación de Personas Adultas (Presencial)",,4501068,"Centro público",0
228,"ESPAÑA","NÍJAR","Centro Público de Educación de Personas Adultas (Presencial)","BARRIOS",4501071,"Centro público",0
229,"ESPAÑA","BERJA","Centro Público de Educación de Personas Adultas (Presencial)","BARRIOS",4501081,"Centro público",0
230,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","AL-MARIYA",4501093,"Centro público",0
231,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","LOS ANGELES-TORRECARDENAS",4501101,"Centro público",0
232,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","ALKAYASI",4501111,"Centro público",0
233,"ESPAÑA","ALBÁNCHEZ","Centro Público de Educación de Personas Adultas (Presencial)","ALBANCHEZ-LIJAR",4501123,"Centro público",0
234,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","PUCHE",4500672,"Centro público",0
235,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","QUEMADERO",4500684,"Centro público",0
236,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","FUENTECICA",4500696,"Centro público",0
237,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","ALMENDROS",4500726,"Centro público",0
238,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","QUINIENTAS VIVIENDAS",4500751,"Centro público",0
239,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","LA CHANCA",4500763,"Centro público",0
240,"ESPAÑA","ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)","ACEBUCHE",4500775,"Centro público",0
241,"ESPAÑA","HUÉRCAL DE ALMERÍA","Centro Público de Educación de Personas Adultas (Presencial)",,4500799,"Centro público",0
