"Id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza"
114,"FRANCIA ","ESTRASBURGO ","Sección Española en Centros Extranjeros ","SECCIÓN EN ESTRASBURGO ",60000402,"Centro público"
115,"FRANCIA ","FERNEY-VOLTAIRE ","Sección Española en Centros Extranjeros ","SECCIÓN EN FERNEY-VOLTAIRE ",60000438,"Centro público"
116,"FRANCIA ","GRENOBLE ","Sección Española en Centros Extranjeros ","SECCIÓN EN GRENOBLE ",60000441,"Centro público"
117,"FRANCIA ","LYON ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN LYON ",60005813,"Centro público"
118,"FRANCIA ","LYON ","Sección Española en Centros Extranjeros ","SECCIÓN EN LYON ",60000475,"Centro público"
119,"FRANCIA ","MARSELLA ","Sección Española en Centros Extranjeros ","SECCIÓN EN MARSELLA ",60000499,"Centro público"
120,"FRANCIA ","MONTPELLIER ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN MONTPELLIER ",60005825,"Centro público"
121,"FRANCIA ","MONTPELLIER ","Sección Española en Centros Extranjeros ","SECCIÓN EN MONTPELLIER ",60000359,"Centro público"
122,"FRANCIA ","NEUILLY-SUR-SEINE ","Centro Público Español en el Extranjero ","LICEO ESPAÑOL LUIS BUÑUEL ",60000128,"Centro público"
123,"FRANCIA ","PARIS ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000785,"Centro público"
124,"FRANCIA ","PARIS ","Centro Público Español en el Extranjero ","COLEGIO ESPAÑOL FEDERICO GARCÍA LORCA ",60000131,"Centro público"
125,"FRANCIA ","PARIS ","Sección Española en Centros Extranjeros ","SECCIÓN EN PARÍS ",60000529,"Centro público"
126,"FRANCIA ","ST GERMAIN EN LAYE ","Sección Española en Centros Extranjeros ","SECCIÓN EN ST.GERMAIN-EN-LAYE ",60000530,"Centro público"
127,"FRANCIA ","ST JEAN DE LUZ-HENDAYA ","Sección Española en Centros Extranjeros ","SECCIÓN EN SAN JUAN DE LUZ-HENDAYA ",60000451,"Centro público"
128,"FRANCIA ","TOULOUSE ","Sección Española en Centros Extranjeros ","SECCIÓN EN TOULOUSE ",60001078,"Centro público"
129,"FRANCIA ","VALBONNE ","Sección Española en Centros Extranjeros ","SECCIÓN EN VALBONNE-NIZA ",60000517,"Centro público"
130,"HOLANDA ","AMSTERDAM ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000797,"Centro público"
131,"HOLANDA ","AMSTERDAM ","Sección Española en Centros Extranjeros ","SECCIÓN EN AMSTERDAM ",60000554,"Centro público"
