"Id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza"
176,"POLONIA ","VARSOVIA ","Sección Bilingüe ","LICEUM Nº XXII ""JOSÉ MARTÍ"" ",60005618,"Centro público"
177,"POLONIA ","VARSOVIA ","Sección Bilingüe ","LICEUM XXXIV ""MIGUEL DE CERVANTES"" ",60000487,"Centro público"
178,"POLONIA ","WROCLAW ","Sección Bilingüe ","LICEO Nº IX ""JULIUSZ SLOWACKI"", GIMNAZJUM Nº 10 ",60005621,"Centro público"
179,"PORTUGAL ","LISBOA ","Centro Público Español en el Extranjero ","GINER DE LOS RIOS ",60000271,"Centro público"
180,"REINO UNIDO ","CULHAM ","Escuelas Europeas ","ESCUELA EUROPEA DE CULHAM ",60000682,"Centro público"
181,"REINO UNIDO ","LIVERPOOL ","Sección Española en Centros Extranjeros ","SECCIÓN EN LIVERPOOL ",60005965,"Centro público"
182,"REINO UNIDO ","LONDRES ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000815,"Centro público"
183,"REINO UNIDO ","LONDRES ","Centro Público Español en el Extranjero ","INSTITUTO ESPAÑOL VICENTE CAÑADA BLANCH ",60000281,"Centro público"
184,"REPUBLICA CHECA ","BRNO ","Sección Bilingüe ","GYMNÁZIUM BRNO-BYSTRC"" ",60000463,"Centro público"
185,"REPUBLICA CHECA ","CESKÉ BUDEJOVICE ","Sección Bilingüe ","GYMNÁZIUM ""BISKUPSKÉ"" ",60005886,"Centro público"
186,"REPUBLICA CHECA ","OLOMOUC ","Sección Bilingüe ","GYMNAZIUM ""CAJKOVSKÉHO"" ",60001303,"Centro público"
187,"REPUBLICA CHECA ","OSTRAVA ","Sección Bilingüe ","GYMNAZIUM ""HLADNOV"" ",60005631,"Centro público"
188,"REPUBLICA CHECA ","PILSEN ","Sección Bilingüe ","GYMNÁZIUM ""LUDKA PIKA"" ",60006106,"Centro público"
189,"REPUBLICA CHECA ","PRAGA ","Sección Bilingüe ","GYMNAZIUM ""BUDEJOVICKÁ"" ",60000426,"Centro público"
190,"RUMANIA ","BRASOV ","Sección Bilingüe ","COLEGIUL NATIONAL UNIREA ",60005941,"Centro público"
191,"RUMANIA ","BUCAREST ","Sección Bilingüe ","COLEGIUL NATIONAL ""IULIA HASDEU"" ",60005898,"Centro público"
192,"RUMANIA ","BUCAREST ","Sección Bilingüe ","LICEO BILINGV ""MIGUEL DE CERVANTES"" ",60001327,"Centro público"
193,"RUMANIA ","BUCAREST ","Sección Bilingüe ","LICEO TEORETIC ""MIHAIL SADOVEANU"" ",60001315,"Centro público"
194,"RUMANIA ","CLUJ NAPOCA ","Sección Bilingüe ","LICEUL TEORETIC ""EUGEN PORA"" ",60006118,"Centro público"
195,"RUMANIA ","CRAIOVA ","Sección Bilingüe ","COLEGIUL NATIONAL ""CAROL I"" ",60005643,"Centro público"
196,"RUMANIA ","IASI ","Sección Bilingüe ","LICEUL TEORETIC ""DIMITRIE CANTEMIR"" ",60005904,"Centro público"
197,"RUMANIA ","ORADEA ","Sección Bilingüe ","COLEGIUL NATIONAL ""IOSIF VULCAN"" ",60006143,"Centro público"
198,"RUMANIA ","PLOIESTI ","Sección Bilingüe ","COLEGIUL NATIONAL ""JEAN MONET"" ",60005655,"Centro público"
199,"RUMANIA ","TIMISOARA ","Sección Bilingüe ","LICEUL TEORETIC ""JEAN LOUIS CALDERÓN"" ",60006121,"Centro público"
